CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
13055;35013055;MARIA IZABEL FONTOURA;GUARATINGUETA;CACHOEIRA PAULISTA;;2,79;2,05
13079;35013079;OLIVEIRA GOMES COMENDADOR;GUARATINGUETA;CACHOEIRA PAULISTA;;3,69;
13080;35013080;JUCA PADRE;GUARATINGUETA;CACHOEIRA PAULISTA;;3,15;2,04
13109;35013109;ARNOLFO AZEVEDO;GUARATINGUETA;LORENA;;3,39;1,77
13110;35013110;JOAQUIM FERREIRA PEDRO PROF;GUARATINGUETA;LORENA;;3,47;
13134;35013134;ALICE VILELA GALVAO PROFA;GUARATINGUETA;CANAS;;;2,20
13146;35013146;PAULO VIRGINIO;GUARATINGUETA;CACHOEIRA PAULISTA;;3,10;2,62
13158;35013158;REGINA POMPEIA PINTO PROFA;GUARATINGUETA;CACHOEIRA PAULISTA;;2,96;2,37
13161;35013161;FRANCISCO MARQUES DE OLIVEIRA JUNIOR PROF;GUARATINGUETA;LORENA;;1,87;1,91
13171;35013171;SEVERINO MOREIRA BARBOSA;GUARATINGUETA;CACHOEIRA PAULISTA;;;2,49
13183;35013183;JOAO PEDRO CARDOSO DR;PINDAMONHANGABA;PINDAMONHANGABA;;;3,77
13195;35013195;JOAO MARTINS DE ALMEIDA PROFESSOR;PINDAMONHANGABA;PINDAMONHANGABA;;3,93;
13201;35013201;PEDRO SILVA PROFESSOR;PINDAMONHANGABA;PINDAMONHANGABA;;2,68;1,25
13262;35013262;CLARO CESAR DEPUTADO;PINDAMONHANGABA;PINDAMONHANGABA;;3,56;2,40
13274;35013274;GENESIO CANDIDO PEREIRA DOUTOR;PINDAMONHANGABA;SAO BENTO DO SAPUCAI;;3,14;2,90
13286;35013286;THEODORO CORREA CINTRA PROFESSOR;PINDAMONHANGABA;CAMPOS DO JORDAO;;;2,74
13328;35013328;MARIA FERREIRA SONNEWEND PROFESSORA;SAO JOSE DOS CAMPOS;MONTEIRO LOBATO;;3,76;2,65
13336;35013336;MARIO BULCAO GIUDICE PROFESSOR;PINDAMONHANGABA;PINDAMONHANGABA;;2,98;2,27
13353;35013353;ALZIRA FRANCO PROFESSORA;PINDAMONHANGABA;PINDAMONHANGABA;;4,22;
13365;35013365;RYOITI YASSUDA;PINDAMONHANGABA;PINDAMONHANGABA;;;4,32
13389;35013389;EURIPEDES BRAGA PROFESSOR;PINDAMONHANGABA;PINDAMONHANGABA;;4,76;
13390;35013390;ALFREDO PUJOL DOUTOR;PINDAMONHANGABA;PINDAMONHANGABA;;;3,20
13407;35013407;MARIO TAVARES DOUTOR;PINDAMONHANGABA;PINDAMONHANGABA;;3,56;2,40
13432;35013432;GABRIELLA MONTEIRO DE ATHAYDE MARCONDES PROFESSORA;PINDAMONHANGABA;PINDAMONHANGABA;;2,39;3,57
13444;35013444;JOAO JOSE DE AZEVEDO MONSENHOR;PINDAMONHANGABA;PINDAMONHANGABA;;3,76;2,68
13456;35013456;YOLANDA BUENO DE GODOY PROFESSORA;PINDAMONHANGABA;PINDAMONHANGABA;;3,50;2,20
13468;35013468;AFFONSO DE CARVALHO DESEMBARGADOR;PINDAMONHANGABA;SANTO ANTONIO DO PINHAL;;;2,77
13481;35013481;ALCEU MAYNARD ARAUJO PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,85;2,08
13493;35013493;EDEWALDO FREITAS GAIA SANT ANA PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6,53;;
13500;35013500;ZILDA ALTIMIRA SOCI PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,93;;
13511;35013511;EUNICE CORDEIRO DOS SANTOS RODRIGUES PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,02;;
13523;35013523;ILZA IRMA MOELLER COPPIO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;;3,96
13547;35013547;FELICIO SAVASTANO PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,20;;
13559;35013559;JORGE BARBOSA MOREIRA PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,07;3,37;1,11
13560;35013560;JOSE VIEIRA MACEDO PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;;3,81
13572;35013572;ANA CANDIDA DE BARROS MOLINA PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,45;2,44
13584;35013584;PEDRO MAZZA PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;2,74;2,20
13596;35013596;PEDRO MASCARENHAS DOUTOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6,47;3,47;1,86
13602;35013602;EUCLIDES BUENO MIRAGAIA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;3,68;2,61;1,66
13626;35013626;OLIMPIO CATAO;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;4,46;
13638;35013638;FRANCISCO JOAO LEME;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,10;3,86;
13648;35013648;YOSHIYA TAKAOKA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,00;2,45
13651;35013651;SANT ANA DO PARAIBA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,54;;
13687;35013687;FRANCISCO GOMES DA SILVA PRADO DR;JACAREI;JACAREI;;;2,04
13699;35013699;JOAQUIM FRANCO DE ALMEIDA CORONEL;TAUBATE;JAMBEIRO;;;2,33
13705;35013705;HERMINIA SILVA DE MESQUITA PROFA;JACAREI;JACAREI;;3,76;3,38
13730;35013730;ARMANDO D OLIVEIRA COBRA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;;2,83
13754;35013754;MARIA LUIZA DE GUIMARAES MEDEIROS PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;;1,79
13778;35013778;WILMA RAGAZZI BOCCARDO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,67;4,10;
13785;35013785;CARLOS PORTO CORONEL;JACAREI;JACAREI;;;3,66
13791;35013791;MAURICIO ANISSE CURY DOUTOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5,12;;
13808;35013808;POMPILIO MERCADANTE DR;JACAREI;JACAREI;;3,87;2,35
13812;35013812;DOROTHOVEO GASPAR VIANNA PROF;JACAREI;JACAREI;;3,04;2,51
13821;35013821;JOAO FELICIANO;JACAREI;JACAREI;;3,21;2,25
13845;35013845;ANTONIO JOSE DE SIQUEIRA PROF;JACAREI;JACAREI;;3,98;2,72
13869;35013869;JOSE MARIOTTO FERREIRA MAJOR AVIADOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;7,53;5,33;3,59
13882;35013882;EDUARDO JOSE DE CAMARGO CORONEL;TAUBATE;PARAIBUNA;;3,61;3,28
13894;35013894;SUELY ANTUNES DE MELLO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6,16;;
13912;35013912;RONDON MARECHAL;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;5,17;
13924;35013924;RUI RODRIGUES DORIA DOUTOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,65;2,59
13936;35013936;FRANCISCO PEREIRA DA SILVA PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;;4,59
13948;35013948;JOAO CURSINO;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;2,91;2,49
13959;35013959;BENEDITO RAMOS ARANTES CEL;JACAREI;IGARATA;;3,81;3,08
13973;35013973;DIRCEU JUNQUEIRA DE SOUZA PROF;JACAREI;JACAREI;;2,97;2,29
13985;35013985;CERQUEIRA CESAR DOUTOR;TAUBATE;PARAIBUNA;;3,75;3,08
14000;35014000;CESAR COSTA DEPUTADO;TAUBATE;TAUBATE;;4,22;2,91
14011;35014011;ROQUE DE CASTRO REIS PROFESSOR;TAUBATE;TAUBATE;;;1,93
14023;35014023;JOAO ALVES MONSENHOR;TAUBATE;TAUBATE;;;2,14
14060;35014060;FRANCISCA MOURA LUZ PEREIRA PROFESSORA;TAUBATE;CACAPAVA;;3,00;2,08
14072;35014072;QUEIROZ CORONEL;TAUBATE;REDENCAO DA SERRA;;2,79;2,23
14084;35014084;JOAO GONCALVES BARBOSA PROFESSOR;TAUBATE;CACAPAVA;;3,73;2,58
14096;35014096;FIGUEIRA DE TOLEDO;TAUBATE;NATIVIDADE DA SERRA;;3,52;2,82
14126;35014126;JACQUES FELIX;TAUBATE;TAUBATE;;;2,85
14148;35014148;JOSE DE MOURA REZENDE MINISTRO;TAUBATE;CACAPAVA;;3,61;3,18
14175;35014175;AMADOR BUENO DA VEIGA;TAUBATE;TAUBATE;;;3,48
14187;35014187;AMALIA GARCIA RIBEIRO PATTO PROFESSORA;PINDAMONHANGABA;TREMEMBE;;;2,06
14217;35014217;BERNARDINO QUERIDO PROFESSOR;TAUBATE;TAUBATE;;;2,63
14230;35014230;MANUEL CABRAL;PINDAMONHANGABA;TREMEMBE;;;3,18
14254;35014254;MONTEIRO LOBATO;TAUBATE;TAUBATE;;;3,89
14266;35014266;URBANO ALVES DE SOUZA PEREIRA ENGENHEIRO;TAUBATE;TAUBATE;;;3,22
14278;35014278;ANTONIO MAGALHAES BASTOS;TAUBATE;TAUBATE;;;3,01
14285;35014285;MARIO CARDOSO FRANCO PROFESSOR;TAUBATE;TAUBATE;;;3,06
14291;35014291;NEWTON CAMARA LEAL BARROS;TAUBATE;TAUBATE;;;3,72
14312;35014312;DIOGENES RIBEIRO DE LIMA;APIAI;RIBEIRA;;3,88;2,05
14321;35014321;NASCIMENTO SATIRO DA SILVA;APIAI;IPORANGA;;3,06;1,88
14333;35014333;JOAO ANTUNES ALEXANDRE;APIAI;GUAPIARA;;;2,75
14345;35014345;ELIAS LAGES DE MAGALHAES PROF;APIAI;ITAOCA;5,36;3,66;2,27
14357;35014357;REGINA DIAS ANTUNES DA SILVA PROFA;APIAI;APIAI;;3,95;
14369;35014369;LUIZ JOSE DIAS PROF;APIAI;RIBEIRAO BRANCO;;3,78;2,80
14370;35014370;ANTONIA BAPTISTA CALAZANS LUZ PROFA;APIAI;APIAI;;;2,28
14394;35014394;THEREZINHA SACCOMANO PASSARO PROFA;APIAI;GUAPIARA;;2,84;2,34
14400;35014400;LUIZ DARLY GOMES DE ARAUJO PROFESSOR;REGISTRO;BARRA DO TURVO;;3,10;2,18
14412;35014412;PAULO FRANCISCO DE ASSIS PROF;APIAI;BARRA DO CHAPEU;;2,97;2,72
14424;35014424;AMBROSINA DE OLIVEIRA MATTOS PROFA;APIAI;APIAI;3,42;3,19;1,80
14448;35014448;DANUZIA DE SANTI PROFA;BOTUCATU;ITATINGA;;3,94;2,58
14459;35014459;ANTONIO LUIZ DUARTE;ITAPETININGA;PARANAPANEMA;;;2,04
14461;35014461;PAULO ARAUJO NOVAES DOUTOR;AVARE;AVARE;;3,21;2,09
14473;35014473;ANTONIO TONON;ITARARE;CORONEL MACEDO;;3,23;1,42
14485;35014485;JOAO MICHELIN;AVARE;ITAI;;3,75;2,33
14497;35014497;JOAO CRUZ CORONEL;AVARE;AVARE;;3,60;2,48
14503;35014503;PEDRO BENTO ALVES;AVARE;ARANDU;;2,69;2,04
14515;35014515;PAULO DELICIO;AVARE;AGUAS DE SANTA BARBARA;;3,72;2,06
14527;35014527;JOSE LEITE PINHEIRO PROFESSOR;AVARE;CERQUEIRA CESAR;;2,95;1,89
14540;35014540;JOSE PENNA;AVARE;TAQUARITUBA;;3,70;2,32
14552;35014552;AVELINO APARECIDO RIBEIRO DOUTOR;AVARE;IARAS;;;2,37
14588;35014588;JOAO TEIXEIRA DE ARAUJO PROFESSOR;AVARE;AVARE;;3,53;2,17
14631;35014631;BENE ANDRADE DONA;AVARE;AVARE;;3,85;
14667;35014667;HOLAMBRA II;ITAPETININGA;PARANAPANEMA;;;2,48
14679;35014679;MATILDE VIEIRA;AVARE;AVARE;;3,76;2,56
14692;35014692;ANIZIO FERRAZ GODINHO PROF;BOTUCATU;CONCHAS;;2,70;2,34
14746;35014746;VALENTIM DO AMARAL;BOTUCATU;ANHEMBI;;;2,05
14761;35014761;NAPOLEAO CORULE;BOTUCATU;PARDINHO;;;1,95
14771;35014771;MANUEL JOSE CHAVES DR;BOTUCATU;SAO MANUEL;;3,25;1,90
14795;35014795;LUCIO ANTUNES DE SOUZA DOM;BOTUCATU;BOTUCATU;;3,64;3,11
14801;35014801;ANSELMO BERTONCINI;BOTUCATU;BOFETE;;;2,65
14825;35014825;CARDOSO DE ALMEIDA;BOTUCATU;BOTUCATU;;2,85;2,21
14837;35014837;EUCLIDES DE CARVALHO CAMPOS PROF;BOTUCATU;BOTUCATU;;2,41;1,78
14849;35014849;AMERICO VIRGINIO DOS SANTOS PROF;BOTUCATU;BOTUCATU;;2,72;3,04
14850;35014850;JOAO QUEIROZ MARQUES PROF;BOTUCATU;BOTUCATU;;2,18;1,85
14862;35014862;RAYMUNDO CINTRA PROF;BOTUCATU;BOTUCATU;;2,40;0,96
14874;35014874;ARMANDO DE SALLES OLIVEIRA DR;BOTUCATU;BOTUCATU;;3,53;2,21
14886;35014886;JOSE PEDRETTI NETTO PROF;BOTUCATU;BOTUCATU;;4,10;3,91
14904;35014904;PEDRO AUGUSTO BARRETO PROF;BOTUCATU;AREIOPOLIS;;;1,84
14941;35014941;PEDRO TORRES PROF;BOTUCATU;BOTUCATU;;3,47;2,27
14953;35014953;WALTER CARRER PROF;BOTUCATU;SAO MANUEL;;2,16;1,45
