;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;DEF1;DEF2;DEF3;DEF4;DEF5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;cad_prova_cie;particip_lp;particip_mat;particip_cie;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;TOTAL_PONTO_CIE;porc_ACERT_lp;porc_ACERT_MAT;porc_CIE;profic_lp;profic_mat;profic_cie;nivel_profic_lp;nivel_profic_mat;nivel_profic_cie;classific_lp;classific_mat;classific_cie;validade
661563;29133668;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10273;0;9º Ano EF;B;261386262;F;20070702;MANHÃ;;;;;;C;0;12;12;12,0;1;1;1;15,0;8,0;11,0;62,5;33,3;45,8;237,8;236,7;261,3;Básico;Básico;Básico;Suficiente;Suficiente;Suficiente;1
661897;29136385;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;914782;0;9º Ano EF;D;260937677;M;20071215;TARDE;;;;;;C;0;13;13;13,0;0;0;0;;;;;;;;;;;;;;;;1
662457;29139547;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10273;0;9º Ano EF;B;261386262;F;20070705;MANHÃ;;;;;;C;0;5;5;5,0;0;0;0;;;;;;;;;;;;;;;;1
662610;29140177;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10273;0;9º Ano EF;B;261386262;M;20071023;MANHÃ;;;;;;C;0;17;17;17,0;1;1;1;14,0;10,0;7,0;58,3;41,7;29,2;240,7;218,3;182,2;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
663002;29142042;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;9º Ano EF;A;261386296;F;20070411;TARDE;;;;;;C;0;8;8;8,0;1;1;1;11,0;10,0;6,0;45,8;41,7;25,0;210,9;219,4;204,7;Básico;Abaixo do Básico;Abaixo do Básico;Suficiente;Insuficiente;Insuficiente;1
663803;29146468;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;918817;0;9º Ano EF;A;262305444;F;20071112;MANHÃ;;;;;;C;0;17;17;17,0;1;1;1;7,0;15,0;8,0;29,2;62,5;33,3;184,3;275,0;245,9;Abaixo do Básico;Básico;Básico;Insuficiente;Suficiente;Suficiente;1
663858;29146802;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;918817;0;9º Ano EF;A;262305444;F;20080204;MANHÃ;;;;;;C;0;22;22;22,0;1;1;1;20,0;16,0;12,0;83,3;66,7;50,0;307,6;319,0;243,0;Adequado;Adequado;Básico;Suficiente;Suficiente;Suficiente;1
663871;29146853;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;9º Ano EF;C;261386312;M;20071004;TARDE;;;;;;C;0;4;4;4,0;1;1;1;23,0;20,0;20,0;95,8;83,3;83,3;367,4;327,6;352,1;Avançado;Adequado;Avançado;Avançado;Suficiente;Avançado;1
663974;29147550;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;918672;0;9º Ano EF;A;260938907;M;20070501;MANHÃ;;;;;;C;0;16;16;16,0;1;1;1;16,0;13,0;19,0;66,7;54,2;79,2;267,4;283,0;345,2;Básico;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
664689;29151705;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;B;262087349;F;20071104;TARDE;;;;;;C;0;17;17;17,0;0;0;0;;;;;;;;;;;;;;;;1
664814;29152853;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;44878;0;9º Ano EF;B;261406573;M;20071126;MANHÃ;;;;;;C;0;21;21;21,0;1;1;1;16,0;9,0;15,0;66,7;37,5;62,5;246,6;196,6;279,7;Básico;Abaixo do Básico;Básico;Suficiente;Insuficiente;Suficiente;1
665190;29155223;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;10285;0;9º Ano EF;C;261386312;F;20070518;TARDE;;;;;;C;0;20;20;20,0;1;1;1;6,0;7,0;4,0;25,0;29,2;16,7;178,1;157,8;164,0;Abaixo do Básico;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;Insuficiente;1
666234;29162683;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;902160;0;9º Ano EF;A;262086804;M;20070820;TARDE;;;;;;C;0;14;14;14,0;1;1;1;17,0;14,0;15,0;70,8;58,3;62,5;247,4;262,0;267,6;Básico;Básico;Básico;Suficiente;Suficiente;Suficiente;1
666801;29167573;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;44878;0;9º Ano EF;B;261406573;M;20070925;MANHÃ;;;;;;C;0;13;13;13,0;1;1;1;19,0;13,0;17,0;79,2;54,2;70,8;289,4;262,5;324,4;Adequado;Básico;Adequado;Suficiente;Suficiente;Suficiente;1
666966;29169132;ESTADUALSE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBUGUACU;40708;0;9º Ano EF;B;260916978;M;20070528;MANHÃ;;;;;;C;0;4;4;4,0;1;1;1;6,0;13,0;14,0;25,0;54,2;58,3;170,3;249,0;264,6;Abaixo do Básico;Básico;Básico;Insuficiente;Suficiente;Suficiente;1
