;CD_ALUNO;NOMEDEP;NomeDepBol;RegiaoMetropolitana;CDREDE;DE;CODMUN;MUN;CODESC;TIPOCLASSE;SERIE_ANO;TURMA;CLASSE;SEXO;DT_NASCIMENTO;PERIODO;NEC_ESP_1;NEC_ESP_2;NEC_ESP_3;NEC_ESP_4;NEC_ESP_5;Tip_PROVA;Tem_Nec;cad_prova_lp;cad_prova_mat;particip_lp;particip_mat;TOTAL_PONTO_LP;TOTAL_PONTO_MAT;porc_ACERT_lp;porc_ACERT_MAT;profic_lp;profic_mat;nivel_profic_lp;nivel_profic_mat;classific_lp;classific_mat;validade
595799;23633038;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914848;0;EM-3ª série;A;232142356;F;20020504;MANHÃ;0;0;0;0;0;C;0;12,0;12,0;1;1;8,0;6,0;33,3;25,0;229,6;197,1;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
595883;27911971;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;912402;0;5º Ano EF;B;231748377;M;20081211;MANHÃ;0;0;0;0;0;C;0;14,0;14,0;1;1;18,0;14,0;75,0;58,3;227,5;220,2;Adequado;Básico;Suficiente;Suficiente;1
595893;26101492;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;44878;0;9º Ano EF;A;232228213;F;20051028;MANHÃ;0;0;0;0;0;C;0;6,0;6,0;1;1;9,0;11,0;37,5;45,8;209,4;260,8;Básico;Básico;Suficiente;Suficiente;1
596340;25160571;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;914782;0;EM-3ª série;D;231552746;F;20011027;MANHÃ;0;0;0;0;0;C;0;10,0;10,0;1;1;7,0;3,0;29,2;12,5;229,6;182,7;Abaixo do Básico;Abaixo do Básico;Insuficiente;Insuficiente;1
596410;27875705;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;10273;0;9º Ano EF;B;232163899;M;20050327;MANHÃ;0;0;0;0;0;C;0;13,0;13,0;1;1;5,0;10,0;20,8;41,7;160,8;236,7;Abaixo do Básico;Básico;Insuficiente;Suficiente;1
596494;30668831;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;46536;0;5º Ano EF;A;232082040;F;20081223;MANHÃ;0;0;0;0;0;C;0;14,0;14,0;1;1;22,0;23,0;91,7;95,8;273,9;317,7;Avançado;Avançado;Avançado;Avançado;1
596523;22519987;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;35403;0;EM-3ª série;A;231339268;M;20021108;MANHÃ;0;0;0;0;0;C;0;9,0;9,0;1;1;14,0;18,0;58,3;75,0;298,2;359,9;Básico;Adequado;Suficiente;Suficiente;1
596527;26390854;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;902160;0;9º Ano EF;A;232151811;F;20050322;MANHÃ;0;0;0;0;0;C;0;9,0;9,0;1;1;14,0;13,0;58,3;54,2;261,2;311,5;Básico;Adequado;Suficiente;Suficiente;1
596538;24432776;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;49086;0;EM-3ª série;C;232484550;F;20021022;MANHÃ;0;0;0;0;0;C;0;12,0;12,0;1;1;19,0;9,0;79,2;37,5;348,9;296,2;Adequado;Básico;Suficiente;Suficiente;1
598687;31254091;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;912402;0;3º Ano EF;B;231602293;F;20110322;TARDE;0;0;0;0;0;C;0;;;1;1;;;;;179,0;170,6;Adequado;Básico;Suficiente;Suficiente;1
599209;26393477;ESTADUAL-SE;Rede Estadual;Região Metropolitana de São Paulo;10702;ITAPECERICA DA SERRA;299;EMBU-GUACU;904181;0;9º Ano EF;B;232230870;F;20050309;TARDE;0;0;0;0;0;C;0;22,0;22,0;1;1;9,0;10,0;37,5;41,7;207,0;235,4;Básico;Básico;Suficiente;Suficiente;1
